timestamp,tcp_cnt,udp_cnt,other_cnt,size_under_20_bytes,size_under_100_bytes,size_under_1200_bytes,size_over_1200_bytes
2019-08-03 01:52:20:824918,16,0,0,16,0,0,0
2019-08-03 01:52:27:537264,4,1,0,5,0,0,0
2019-08-03 01:52:33:495800,4,0,0,4,0,0,0
2019-08-03 01:52:38:650173,6,0,0,6,0,0,0
2019-08-03 01:52:44:435998,1,0,0,1,0,0,0
2019-08-03 01:52:49:519838,4,0,0,4,0,0,0
2019-08-03 01:52:58:210636,5,1,0,6,0,0,0
2019-08-03 01:53:08:438103,3,1,1,5,0,0,0
2019-08-03 01:53:27:565098,4,3,0,6,1,0,0
2019-08-03 01:53:50:136148,4,2,0,6,0,0,0
2019-08-03 01:54:07:024584,2,3,0,5,0,0,0
2019-08-03 01:54:28:487575,3,3,0,6,0,0,0
2019-08-03 01:54:48:843645,1,1,0,2,0,0,0
2019-08-03 01:55:10:853554,1,0,0,1,0,0,0
2019-08-03 01:55:30:152221,7,6,0,13,0,0,0
2019-08-03 01:55:50:859464,0,2,0,2,0,0,0
2019-08-03 01:56:03:008739,0,4,0,4,0,0,0
2019-08-03 01:56:10:866316,3,1,0,4,0,0,0
2019-08-03 01:56:36:256943,8,7,0,15,0,0,0
2019-08-03 01:56:50:871760,5,3,0,8,0,0,0
2019-08-03 01:57:10:873104,3,0,0,3,0,0,0
2019-08-03 01:57:29:103480,3,1,0,4,0,0,0
2019-08-03 01:57:35:724137,4,5,0,9,0,0,0
2019-08-03 01:57:51:880932,4,5,0,9,0,0,0
2019-08-03 01:58:11:418621,5,4,0,9,0,0,0
2019-08-03 01:58:29:269752,4,0,0,4,0,0,0
2019-08-03 01:58:38:090809,1,3,0,4,0,0,0
2019-08-03 01:58:44:216081,5,1,0,6,0,0,0
2019-08-03 01:58:52:448577,1,5,0,6,0,0,0
2019-08-03 01:59:26:312744,6,2,0,8,0,0,0
2019-08-03 02:00:19:503662,1,5,0,6,0,0,0
2019-08-03 02:00:36:641410,2,2,0,4,0,0,0
2019-08-03 02:00:42:412720,1,3,0,4,0,0,0
2019-08-03 02:01:02:406472,21,2,0,22,0,0,1
2019-08-03 02:01:10:311684,0,6,0,4,1,0,1
2019-08-03 02:01:20:549447,0,1,0,1,0,0,0
