Á¾·ù,timestamp,conn number,tcp_ratio,udp_ratio,other_ratio,size_under_50_bytes,size_under_100_bytes,size_under_1200_bytes,size_over_1200_bytes,S0_ratio,RSTO_ratio,OTH_ratio,SHR_ratio,interval_under_50ms_ratio
syn,2019-08-03 02:13:11:462341,43477,99.997699933,0,0,99.997699933,0,0,0,0,99.997699933,0,0,99.995399867
udp,2019-08-03 02:15:10:461116,33178,0,99.996985955,0,99.996985955,0,0,0,99.978901682,0,0,0.018084272711,99.993971909
http get,2019-08-04 00:05:39:948591,928,100,0,0,100,0,0,0,0,0,53.556034483,37.392241379,99.568965517
,,,,,,,,,,,,,,
youtube,,20,80,10,5,60,20,10,5,0,5,35,50,55
,,31,96.774193548,3.2258064516,0,58.064516129,19.35483871,6.4516129032,16.129032258,3.2258064516,3.2258064516,48.387096774,45.161290323,54.838709677
,,21,95.238095238,4.7619047619,0,52.380952381,4.7619047619,23.80952381,19.047619048,0,0,52.380952381,47.619047619,66.666666667
,,6,100,0,0,83.333333333,0,0,16.666666667,0,0,16.666666667,50,33.333333333
,,10,90,10,0,80,0,10,10,10,0,50,30,30
,,2,50,50,0,50,0,50,0,0,0,50,50,50
,,7,57.142857143,42.857142857,0,71.428571429,0,28.571428571,0,14.285714286,0,42.857142857,28.571428571,28.571428571
,,7,57.142857143,42.857142857,0,85.714285714,0,0,14.285714286,0,0,57.142857143,42.857142857,71.428571429
,,5,80,20,0,60,0,20,20,0,0,40,40,80
,,8,75,25,0,75,0,0,25,12.5,0,37.5,50,75
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,1,0,100,0,100,0,0,0,100,0,0,0,0
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,2,0,100,0,100,0,0,0,50,0,50,0,0
,,7,28.571428571,71.428571429,0,100,0,0,0,42.857142857,0,14.285714286,42.857142857,42.857142857
,,3,0,100,0,100,0,0,0,100,0,0,0,0
,,4,0,100,0,100,0,0,0,100,0,0,0,25
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,6,33.333333333,66.666666667,0,100,0,0,0,33.333333333,0,16.666666667,50,33.333333333
,,3,0,100,0,100,0,0,0,100,0,0,0,0
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,3,0,100,0,100,0,0,0,33.333333333,0,33.333333333,33.333333333,0
,,14,71.428571429,28.571428571,0,78.571428571,7.1428571429,7.1428571429,7.1428571429,21.428571429,0,50,28.571428571,50
,,8,50,50,0,87.5,0,0,12.5,25,0,25,50,50
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,4,75,25,0,75,0,0,25,25,0,50,25,25
,,12,66.666666667,33.333333333,0,75,16.666666667,8.3333333333,0,16.666666667,0,41.666666667,25,41.666666667
,,5,60,40,0,60,40,0,0,20,0,20,20,40
,,3,66.666666667,33.333333333,0,66.666666667,33.333333333,0,0,0,0,66.666666667,33.333333333,66.666666667
,,3,66.666666667,33.333333333,0,66.666666667,33.333333333,0,0,33.333333333,0,33.333333333,33.333333333,33.333333333
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,5,40,60,0,100,0,0,0,20,0,20,60,60
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,6,66.666666667,33.333333333,0,83.333333333,0,0,16.666666667,16.666666667,0,33.333333333,50,50
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,2,0,100,0,100,0,0,0,100,0,0,0,0
,,2,0,100,0,100,0,0,0,50,0,50,0,0
