Á¾·ù,timestamp,conn number,tcp_ratio,udp_ratio,other_ratio,size_under_50_bytes,size_under_100_bytes,size_under_1200_bytes,size_over_1200_bytes,S0_ratio,RSTO_ratio,OTH_ratio,SHR_ratio,interval_under_50ms_ratio,,,,,,,,,,,,,,,,
syn,2019-08-03 02:13:11:462341,43477,99.99769993,0,0,99.99769993,0,0,0,0,99.99769993,0,0,99.99539987,,,,,,,,,,,,,,,,
udp,2019-08-03 02:15:10:461116,33178,0,99.99698596,0,99.99698596,0,0,0,99.97890168,0,0,0.018084273,99.99397191,,,,,,,,,,,,,,,,
http get,2019-08-04 00:05:39:948591,928,100,0,0,100,0,0,0,0,0,53.55603448,37.39224138,99.56896552,,,,,,,,,,,,,,,,
,,20,80,10,5,60,20,10,5,0,5,35,50,55,,,,,,,,,,,,,,,,
youtube,,31,96.77419355,3.225806452,0,58.06451613,19.35483871,6.451612903,16.12903226,3.225806452,3.225806452,48.38709677,45.16129032,54.83870968,,,,,,,,,,,,,,,,
,,21,95.23809524,4.761904762,0,52.38095238,4.761904762,23.80952381,19.04761905,0,0,52.38095238,47.61904762,66.66666667,,,,,,,,,,,,,,,,
,,6,100,0,0,83.33333333,0,0,16.66666667,0,0,16.66666667,50,33.33333333,,,,,tcp_ratio,udp_ratio,other_ratio,size_under_50_bytes,size_under_100_bytes,size_under_1200_bytes,size_over_1200_bytes,S0_ratio,RSTO_ratio,OTH_ratio,SHR_ratio,interval_under_50ms_ratio
,,10,90,10,0,80,0,10,10,10,0,50,30,30,,,,,,,,,,,,,,,,
,,2,50,50,0,50,0,50,0,0,0,50,50,50,,,,,,,,,,,,,,,,
,,7,57.14285714,42.85714286,0,71.42857143,0,28.57142857,0,14.28571429,0,42.85714286,28.57142857,28.57142857,,,,,,,,,,,,,,,,
,,7,57.14285714,42.85714286,0,85.71428571,0,0,14.28571429,0,0,57.14285714,42.85714286,71.42857143,,,,,,,,,,,,,,,,
,,5,80,20,0,60,0,20,20,0,0,40,40,80,,,,,,,,,,,,,,,,
,,8,75,25,0,75,0,0,25,12.5,0,37.5,50,75,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,1,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,50,0,50,0,0,,,,,,,,,,,,,,,,
,,7,28.57142857,71.42857143,0,100,0,0,0,42.85714286,0,14.28571429,42.85714286,42.85714286,,,,,,,,,,,,,,,,
,,3,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,4,0,100,0,100,0,0,0,100,0,0,0,25,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,6,33.33333333,66.66666667,0,100,0,0,0,33.33333333,0,16.66666667,50,33.33333333,,,,,,,,,,,,,,,,
,,3,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,3,0,100,0,100,0,0,0,33.33333333,0,33.33333333,33.33333333,0,,,,,,,,,,,,,,,,
,,14,71.42857143,28.57142857,0,78.57142857,7.142857143,7.142857143,7.142857143,21.42857143,0,50,28.57142857,50,,,,,,,,,,,,,,,,
,,8,50,50,0,87.5,0,0,12.5,25,0,25,50,50,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,4,75,25,0,75,0,0,25,25,0,50,25,25,,,,,,,,,,,,,,,,
,,12,66.66666667,33.33333333,0,75,16.66666667,8.333333333,0,16.66666667,0,41.66666667,25,41.66666667,,,,,,,,,,,,,,,,
,,5,60,40,0,60,40,0,0,20,0,20,20,40,,,,,,,,,,,,,,,,
,,3,66.66666667,33.33333333,0,66.66666667,33.33333333,0,0,0,0,66.66666667,33.33333333,66.66666667,,,,,,,,,,,,,,,,
,,3,66.66666667,33.33333333,0,66.66666667,33.33333333,0,0,33.33333333,0,33.33333333,33.33333333,33.33333333,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,5,40,60,0,100,0,0,0,20,0,20,60,60,,,,,,,,,,,,,,,,
,,2,0,100,0,100,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,
,,6,66.66666667,33.33333333,0,83.33333333,0,0,16.66666667,16.66666667,0,33.33333333,50,50,,,,,,,,,,,,,,,,
